List of Valid Insurance Brokers as on 15.05.2021,,,,,,,,,,
Sl No,"Certificate of 
Registration No.",,Name of the Broker,Address,Phone No,Category of Broker,Principal Officer,Validity of license,,PO E-Maild Id
99,248,,Berkeley Insurance Brokers Ltd,"BERKELEY SQUARE PLOT NO. 24, 6TH FLOOR,  INDUSTRIAL AREA, PHASE-1 CHANDIGARH CHANDIGARH 160002",9855110606,Direct Broker (Life & General),S.C.MOUDGIL,03-Mar-2019,02-Mar-2022,insurance@berkeleyindia.com
100,249,,RBA Ins. Brokers Pvt. Ltd. ,110 Agarwal Chamber IV V S Block  Shakarpur NEW DELHI NEW DELHI 110092,9897099399,Direct Broker (Life & General),"LAV KUMAR,DIRECTOR CUM PRINCIPAL OFFICER",03-Mar-2019,02-Mar-2022,rbaibl@rbagroup.net
101,250,,Sigma Ins. Broking Pvt. Ltd.,"NAKSHTRA HEIGHTS, OFFICE NO. 1008, 10TH FLOOR, 150 FEET RING ROAD, RAJKOT RAJKOT  CELL NO: 9825506363 RAJKOT RAJKOT 360005",9825506363,Direct Broker (Life & General),JEPRISH GANDHI,17-Mar-2019,16-Mar-2022,info@sigmainsu.com
102,251,,SREI Insurance Broking Ltd,86 C TOPSIA ROAD  VISWAKARMA CALCUTTA CALCUTTA 700046,9836088006,Composite Broker,Santosh Kumar,17-Mar-2019,16-Mar-2022,po_srei@srei.com
103,252,,Vision Ins. Risk Analysis Management & Brokers Pvt. Ltd.,A10/30 Aziz Manzil  Shanti Nagar CANTT. KANPUR NAGAR 208004,9336817990,Direct Broker (Life & General),Vishal Priyadarshi Pandey,17-Mar-2019,16-Mar-2022,viram_viram@rediffmail.com
104,253,,Madhav Ins. Brokers Pvt. Ltd.,"B-20-2692,1st Floor Above Goyal Hyundai  Near Silver Arc Mall, Ferozepur Road LUDHIANA LUDHIANA 141001",9876149656,Direct Broker (Life & General),DAYA KRISHAN GOYAL,17-Mar-2019,16-Mar-2022,MADHAV_INSURANCE@YAHOO.COM
105,255,,Xperitus Insurance Brokers Pvt. Ltd,"B1, Marine Chambers, Sir V T Marg B1, Marine Chambers, Sir V T Marg  Churchgate MUMBAI MUMBAI 400020",9820145046,Composite Broker,Girish Malik,27-Mar-2019,26-Mar-2022,po_xperitus@xperitusinsure.com
106,256,,Jai Ins. Brokers Pvt. Ltd.,SIX ZERO THREE Prabhat Kiran Building  Seventeen Rajender Place DELHI CENTRAL DELHI 110008,9810557720,Direct Broker (Life & General),BHARAT BHUSHAN ANEJA,23-Apr-2019,22-Apr-2022,po_jib@yahoo.in
107,257,,Madhuvan Ins. Broking Services Pvt. Ltd.,"85, MADHUBAN NR MADALPUR UNDER BRIDGE  ELLISBRIDGE AHMEDABAD AHMEDABAD 380006",9925357701,Direct Broker (Life & General),Anal Shah,23-Apr-2019,22-Apr-2022,aanal@madhuvan.com
108,258,,Kan Ins. Brokers Pvt. Ltd.,912-A 9th Floor Chiranjiv Tower  43 Nehru Place SOUTH DELHI SOUTH DELHI 110019,9810695636,Direct Broker (Life & General),Rajender Singh Rawat,23-Apr-2019,22-Apr-2022,rajender@kaninsure.com
109,260,,OHM Maruthi Insurance Broking Services Pvt. Ltd.,"91 AND 92 KODAMBAKKAM HIGH ROAD,NUNGAMBAKKAM  CHENNAI CHENNAI CHENNAI 600034",9443115384,Direct Broker (General),C.KUMAR,18-May-2019,17-May-2022,ohmmaruthi@gmail.com
110,261,,Mahindra Insurance Brokers Ltd. ,Mahindra Towers P K Kurane Chowk  Worli MUMBAI MUMBAI 400018,2266423800,Composite Broker,Richard Clement,18-May-2019,17-May-2022,po_mibl@mahindra.com
111,262,,Afro-Asian Ins. & Reinsurance Brokers  (India) Pvt. Ltd.,75 bajaj bhavan nariman point  mumbai MUMBAI MUMBAI 400021,9920920862,Composite Broker,JAY THAKKER,18-May-2019,17-May-2022,po.afroasian@aairb.com
112,263,,Howden Ins. Brokers India Pvt. Ltd.,6th Floor Peninsula Chambers  Peninsula Corporate Park MUMBAI MUMBAI 400013,9324541660,Composite Broker,Mr. Mahesh Chainani,18-May-2019,17-May-2022,po_howden@howdenindia.com
113,264,,Suvidha Insurance Broking Pvt. Ltd,One Seventy Four Chittaranjan Avenue  5th Floor KOLKATA KOLKATA 700007,9830435929,Direct Broker (General),Rajeev Sharma,24-May-2019,23-May-2022,po_suvidha@suvidhainsurance.com
114,265,,Master Insurance Brokers Ltd,SCO 19 MASTER CHAMBERS FEROZE GANDHI MARKET LUDHIANA  LUDHIANA LUDHIANA LUDHIANA 141001,9814610637,Direct Broker (Life & General),Mr Darshanjit Singh Minocha,25-May-2019,24-May-2022,po_masterinsurance@mastertrust.co.in
115,267,,GEPL Insurance Broking Pvt. Ltd,D-21 DHANRAJ MAHAL CSM MARG  COLABA MUMBAI  MUMBAI MUMBAI MUMBAI 400001,9820038883,Direct Broker (Life & General),PREETI MEHROTRA,18-Jun-2019,17-Jun-2022,geplinsurance@geplcapital.com
116,269,,Jaika Ins. Brokerage Pvt. Ltd.,"2nd floor, jaika building  commercial road, civil lines NAGPUR NAGPUR 440001",9822469906,Direct Broker (General),Mr. Nilesh Nagarkar,05-Jul-2019,04-Jul-2022,po_jibpl@jaika.com
117,271,,New Quest Ins. Broking Services Ltd. ,"First India Place Tower-C, Mehrauli  Gurgaon Road GURGAON GURGAON 122001",1145599175,Direct Broker (Life & General),Rajeev Kumar Pandey,22-Jul-2019,21-Jul-2022,po_newquest@newquest.in
118,272,,Image Ins. Brokers Pvt. Ltd.,"1/18 B Dreamland Building  4th Floor, Room No.417, Asaf Ali Road NEW DELHI NEW DELHI 110002",9818360660,Direct Broker (Life & General),Mohit Bhanasali,22-Jul-2019,21-Jul-2022,image_account@hotmal.com
119,273,,SPA Insurance Broking Services Ltd,804 Hallmark Business Plaza  Sant Dyaneashwar Marg MUMBAI MUMBAI 400051,9810012838,Direct Broker (Life & General),SHRI KRISHAN,09-Aug-2019,08-Aug-2022,vkhattar@spacapital.com
120,275,,Agile Ins. Brokers Pvt. Ltd.,"E 217, AMAR COLONY  LAJPAT NAGAR 4 NEW DELHI SOUTH DELHI 110024",9873383584,Direct Broker (General),MR.HARKIRAT SINGH,09-Sep-2019,08-Sep-2022,po_agilebrokers@rediffmail.com
121,277,,First Ins World Broking Services Pvt. Ltd.,"No. 267,2nd Street, Mogapair Eri Scheme Chennai   CHENNAI CHENNAI 600037",9710919191,Direct Broker (Life & General),Merben Jayakaran M,09-Sep-2019,08-Sep-2022,merben@insuranzone.com
122,278,,Sanjeevani Ins. Brokers Pvt. Ltd.,"SANJEEVANI INSURANCE BROKERS PVT. LTD. TOBACCO HOUSE, 1 NO. OLD COURT HOUSE CORNER,5TYH FLOOR,  SUITE NO.520,KOLKATA, WBWEST BENGAL KOLKATA KOLKATA 700001",9831347482,Direct Broker (Life & General),DIGENDRA NATH ROY,11-Oct-2019,10-Oct-2022,PO_SANJEEVANI@RADHEYGROUP.COM
123,283,,Rest Assured Insurance Broking Pvt. Ltd.,"102, Century Arcade Narangi Baug Road  Near Boat Club Road PUNE PUNE 411001",9823117169,Direct Broker (Life & General),RAJKAMAL,03-Dec-2019,02-Dec-2022,rahul_daga@restassured.co.in
124,284,,Havmore Ins. Brokers Pvt. Ltd.,A-29 NAND DHAM UDYOG  PREMISES COOP LTD  AGNI SHAMAN DAL MARG MAROL     400059,9004017111,Direct Broker (Life & General),Dinesh Jangla,16-Dec-2019,15-Dec-2022,account@havmore.in
125,289,,SMC Insurance Brokers Pvt Ltd.,11/6b Shanti Chambers  Pusa Road DELHI NORTH NORTH DELHI 110005,1166222266,Direct Broker (Life & General),RAJPAL BAGGA,28-Jan-2020,27-Jan-2023,po_smc@smcinsurance.com
126,290,,SRG Insurance Brokers Pvt. Ltd.,NO. 340 S.M.LODHA COMPLEX  SHATRI CIRCLE UDAIPUR UDAIPUR 313001,9929581789,Direct Broker (Life & General),AARTI JAIN,03-Feb-2020,02-Feb-2023,rajesh@srggroup.net
127,291,,Prudent Ins. Brokers Pvt. Ltd.,NIL NIL  NIL     400013,9967647151,Composite Broker,VIJAY RAMPAL,18-Feb-2020,17-Feb-2023,po_prudent@prudentbrokers.com
128,292,,Advance India Insurance Broker Services Ltd.,"0-144, Shopping Mall, DLF Qutub Enclave,  Phase-1, GURGAON GURGAON 122002",9999886628,Direct Broker (Life & General),SABHYA SAACHI SHARMA,18-Feb-2020,17-Feb-2023,sabhya.sharma@advanceindiabrokers.com
129,293,,Sonnen Ins. Broking Servies Pvt. Ltd.,D-79 FIRST FLOOR  MALVIYA NAGAR NEW DELHI SOUTH DELHI 110017,9818297131,Direct Broker (Life & General),G C CHOPRA,18-Feb-2020,17-Feb-2023,po_sonnen@sonnenindia.com
130,294,,Astro Ins. Brokers Ltd.,C-13 MANSAROVER GARDEN  NEW DELHI NEW DELHI NEW DELHI 110015,9350541833,Direct Broker (Life & General),ANIL CHANDNA,24-Mar-2020,23-Mar-2023,anil.chandna@astroins.com
131,295,,EDELWEISS GALLAGHER INSURNCE BROKERS LIMITED,"2ND FLOOR,TOWER 3, WING B, KOHINOOR CITY,KIROL ROAD,  KURLA WEST, MUMBAI MUMBAI MUMBAI 400070",9967536018,Composite Broker,Vinay Sohani,24-Mar-2020,23-Mar-2023,po_egibl@edelweissfin.com
132,296,,Sun Risk Management and Insurance Broking Services Pvt. Ltd.,"504 TRADE WORLD C-WING 5TH FLOOR KAMALA MILLS COMPOUND, SB MARG  LOWER PAREL WEST, MUMBAI MUMBAI MUMBAI 400013",9820386432,Direct Broker (General),P. Chatterjee,04-Apr-2020,03-Apr-2023,pc@sunrisk.co.in
133,300,,Apeejay Insurance Broking Services Pvt. Ltd.,"APEEJAY HOUSE 2ND FLOOR, A BLOCK  15, PARK STREET KOLKATA KOLKATA 700016",9007026067,Direct Broker (General),MS. SIPRA JANA,18-Apr-2020,17-Apr-2023,po_apjins@apeejaygroup.com
134,301,,RMS ARC Insurance Brokers Pvt. Ltd.,"No.28,2nd Floor, 1st Main Road,  Jayamahal Extension BANGALORE EAST BANGALORE 560046",8041613888,Direct Broker (General),Narendra Kumar Bharindwal,04-May-2020,03-May-2023,insure@rmsarc.com
135,302,,Hudson Ins. Brokers Pvt. Ltd.,PLOT NO.-167 INDUSTRIAL AREA  PHASE - 1 CHANDIGARH CHANDIGARH 160030,9810408517,Direct Broker (General),SUDHIR KUMAR SINGH,07-Jun-2020,06-Jun-2023,po_hudson@hudsonbroker.in
136,305,,BP Risk Advisors & Insurance Brokers Pvt Ltd,86D DR. SURESH SARKAR ROAD MOULALI   CALCUTTA CALCUTTA 700014,9830331613,Direct Broker (Life & General),SOUMA SANKAR NAG,17-Aug-2020,16-Aug-2023,po_bpriskadvisors@yahoo.co.in
137,307,,Palm Insurance Brokers Pvt. Ltd.,"S-25,2ND FLOOR PANCHSHEEL PARK  NEW DELHI NEW DELHI SOUTH DELHI 110017",9810156258,Direct Broker (Life & General),AMIT SINGH,19-Aug-2020,18-Aug-2023,anand.verma@palminsurance.in
138,308,,CMS Ins. Brokers Pvt. Ltd.,"606 CHIRANJIV TOWER CHIRANJIV TOWER, 43  NEHRU PLACE NEW DELHI SOUTH DELHI 110019",9810208931,Direct Broker (Life & General),MRS.MEENA KHANNA,24-Aug-2020,23-Aug-2023,cmsinsurance@hotmail.com
139,309,,Jubilee Ins. Broking Services Pvt. Ltd.,"Unit No. 5 2nd Floor West Gate Point  No.77, RV Road, Basavangudi, Bangalore BANGALORE BANGALORE 560004",9447639826,Direct Broker (General),KK Appu,24-Aug-2020,23-Aug-2023,principalofficer@jubileeinsurance.in
140,310,,Ideal Ins. Brokers Pvt. Ltd.,23 Townshend  Road BHAWANIPORE   KOLKATA KOLKATA 700025,9830285100,Direct Broker (Life & General),RAHUL AGARWAL,24-Aug-2020,23-Aug-2023,po_ideal@idealinsurance.in
141,311,,Futurisk Insurance Broking Co. Pvt Ltd.,"RAHEJA TOWERS, NO177 DELTA 4, ANNASALAI  MOUNT ROAD, CHENNAI CHENNAI CHENNAI 600002",9848054836,Direct Broker (Life & General),Ravishankar Prasad  Ponnapalli,24-Aug-2020,23-Aug-2023,po_futurisk@futurisk.in
142,312,,TT Insurance Broking Services Pvt. Ltd,No.6 Cathederal Road  Gopalapuram CHENNAI CITY CORPORATION CHENNAI 600086,9840860263,Direct Broker (Life & General),P. MUDDU MALLA REDDY,24-Aug-2020,23-Aug-2023,po_ttinsurance@ttgroupglobal.com
143,313,,Extra Cover Ins. Brokers Pvt. Ltd.,"#443, CENTRE POINT 21 HEMANT BASU SARANI   KOLKATA KOLKATA 700001",9830015715,Direct Broker (Life & General),NIRMAL BAZAZ,14-Oct-2020,13-Oct-2023,po_extracover@extracover.in
144,315,,Regal Ins. Brokers & Risk Management Services Pvt. Ltd.,"703, 1st Floor 93-Ashoka Building  Nehru Place SOUTH DELHI SOUTH DELHI 110019",9810350547,Direct Broker (Life & General),RAMESH PEER,16-Nov-2020,15-Nov-2023,ramesh.peer@regalinsurancebrokers.com
145,316,,Fair Deal Ins. Brokers Pvt. Ltd.,"16, FIRST FLOOR AVTAR ENCLAVE  PASCHIM VIHAR DELHI NORTH NORTH DELHI 110063",9811038132,Direct Broker (General),Om Prakash Dua (O.P Dua),16-Nov-2020,15-Nov-2023,po_fairdeal@fairdealinsurance.in
146,318,,Zuari  Insurance Brokers Ltd.,JAI KISSAN BHAWAN ZUARI NAGAR  GOA MARGAO SOUTH GOA 403726,1145494500,Direct Broker (Life & General),Rajesh Kakkar,13-Dec-2020,12-Dec-2023,po_zuari@zuariinsurance.in
147,320,,Beacon Insurance Brokers Pvt. Ltd.,"903 & 904, ISCON ATRIA TOWER 2 OPPOSITE GEB TRAINING CENTRE  GOTRI ROAD BARODA BARODA 390021",2652318000,Composite Broker,SANJEET KUMAR RUSTAGI,30-Dec-2020,29-Dec-2023,po_beacon@beacon.co.in
148,321,,Visista Insurance Broking Services Pvt. Ltd.,Plot No 177 Phase-II  Kamalapuri Colony HYDERABAD HYDERABAD 500073,4040176990,Direct Broker (Life & General),SRINIVAS RAO A,06-Jan-2021,05-Jan-2024,po_visista@visistarisk.com
149,324,,Integrated Insurance Broking Services Pvt. Ltd.,6-C 6TH FLOOR KENCES TOWERS NO.1 RAMAKRISHNA STREET  NORTH USMAN ROAD TNAGAR CHENNAI CHENNAI 600017,4428144897,Direct Broker (Life & General),Smt. Prabha V,30-Jan-2021,29-Jan-2024,po_integrated@integratedinsurance.in
150,325,,WAI Insurance Broking Services Pvt. Ltd.,"6th Floor, Temple Tower 672, Anna Salai  Nandanam CHENNAI CHENNAI 600035",4440015550,Direct Broker (Life & General),Mr  P  Narayanan,24-Feb-2021,23-Feb-2024,po_waiibs@waiibs.in
151,326,,Optima  Insurance Brokers Pvt Ltd.,M4 GREATER KAILASH-2   NEW DELHI SOUTH DELHI 110048,9811981098,Direct Broker (Life & General),RAHUL AGGARWAL,22-Mar-2021,21-Mar-2024,RAHUL.A@OPTIMA.CO.IN
152,328,,Vipul Ins. Brokers Pvt. Ltd.,"217, Ansal ANSAL CHAMBER II  BHIKAJI CAMA PLACE NEW DELHI SOUTH DELHI 110066",9311986302,Direct Broker (Life & General),MANISHA SUBRAMANIAM,04-May-2021,03-May-2024,manisha@vipulinsurance.com
153,329,,But Int. Ins. Broker Pvt. Ltd.,"35/2/9, Floor - 1 Kishan Garh  Vasant Kunj NEW DELHI NEW DELHI 110070",1146051173,Direct Broker (Life & General),VIVEK GANGAL,12-Jun-2018,11-Jun-2021,vivek.gangal@butinternational.com
154,330,,Good Faith Ins. Brokers Pvt. Ltd.,"B-21, 2ND FLOOR, SHRIRAM INDUSTRIAL ESTATE, NEAR WADALA TELEPHONE EXCHANGE  G D AMBEKAR MARG MUMBAI MUMBAI 400031",022-24104981,Direct Broker (Life & General),MR. VIJAY SHARMA,20-Jun-2018,19-Jun-2021,po_goodfaith@goodfaith.co.in
155,332,,Worldwide Ins. Brokers Ltd.,"B-42, Sector-63 Noida   NOIDA NOIDA 201307",01204258189,Composite Broker,KISHAN LAL AGRAWAL,17-Jul-2018,16-Jul-2021,kishan@wibl.in
156,334,,Ecomoney Insurance Bokers Pvt. Ltd.,"3A, Chowringhee Road, 7th Floor, Unit No.A-11&12 Chatterjee International Centre Building  Kolkata CALCUTTA CALCUTTA 700071",7603005388,Direct Broker (Life & General),BISHAKH DEY,16-Oct-2018,15-Oct-2021,po_ecomoney@ecomoney.in
157,335,,Manappuram Insurance Brokers Limited,Manappuram house Nr. Kurishupalli  Valapad CHAVAKKAD THRISSUR 680567,9020908061,Direct Broker (Life & General),RAJESH K.M.,02-Nov-2018,01-Nov-2021,po_manappuram@maibro.in
158,339,,Efficient Ins. Brokers Pvt. Ltd.,"905, 9TH FLOOR VIKRAM TOWER  RAJENDRA PALACE, PATEL NAGAR WEST NEW DELHI WEST DELHI 110008",9779445655,Direct Broker (Life & General),RAVI RAMANUJ BALDUWA,27-Nov-2018,26-Nov-2021,ravi.balduwa@parthivgroup.com
159,341,,Virtual Insurance Broking Entity Private Limited,"1st Floor Jethalal Mansion  10th Bank Street, Cross lane, Fort MUMBAI MUMBAI 400001",2267362900,Direct Broker (General),Avadhoot Mavlankar,27-Dec-2018,26-Dec-2021,sapna@virtualinsurance.in
160,343,,Coastal Ins. Brokers Pvt. Ltd.,No.4 Jalavyuvihar Opp.Arjun Theatre  Kukatpally HYDERABAD K.V.RANGAREDDY 500085,4023055230,Direct Broker (General),K. Guru Charan,05-Jan-2019,04-Jan-2022,"coastal_brokers@rediffmail.com,coastal351@gmail.com"
161,344,,Cosmos Ins. Brokers Pvt. Ltd.,39/2338 2nd floor Sarala chambers  Durbar Hall Road KOCHI ERNAKULAM 682016,4842351432,Direct Broker (Life & General),P V Alex,11-Jan-2019,10-Jan-2022,po_cosmos@yahoo.com
162,345,,Transindia Ins. Broking & Risk Management Pvt. Ltd.,"FIRST FLOOR INDEL HOUSE, CHANGAMPUZHA NAGAR  SOUTH KALAMASSERY, COCHIN ALUVA ERNAKULAM 682033",8086266655,Direct Broker (Life & General),I S PRADEEP,11-Jan-2019,10-Jan-2022,pradeep@transindiainsurance.com
163,346,,Zen Ins. Brokers Pvt. Ltd.,"10-2-274/C/2, 1st Floor, Misra Compound West Marredpally  Secunderabad 500 026 SECUNDERABAD HYDERABAD 500026",0448554477,Direct Broker (Life & General),N Gowrishankar,11-Jan-2019,10-Jan-2022,po_zeninsurance@zeninsure.com
164,347,,Reliance Retail Insurance Broking Ltd.,"3rd Floor,Court House Lokmanya Tilak Marg,Dhobi Talao  mumbai MUMBAI MUMBAI 400002",2279643057,Direct Broker (Life & General),Salil Kumar Mishra,12-Mar-2019,11-Mar-2022,salil.mishra@ril.com
165,348,,Security Insurance Brokers [India] Pvt Ltd.,"Flat No 607 Skylark Building  60,Nehru Place NEW DELHI SOUTH SOUTH DELHI 110019",9312832371,Direct Broker (Life & General),Ella Nanda,13-Mar-2019,12-Mar-2022,sib@securityinvestments.in
166,349,,Lorven Insurance Broking Services Pvt. Ltd.,"MIG-426,G-04, Annapurana Nilayam,Road No.3  K.P.H.B. Colony, Phase-2 KUKATPALLY HYDERABAD 500085",9849046266,Direct Broker (Life & General),BHASKAR BABU ALAM,16-Mar-2019,15-Mar-2022,lorven@lorveninsurance.com
167,351,,Optimum Ins. Broking Services Pvt. Ltd.,NO 5 OLD NO 47 STERLING AVENUE NUNGAMBAKKAM  CHENNAI EGMORE NUNGAMBAKKAM CHENNAI 600034,4442139851,Direct Broker (General),S. RAJASEKAR,30-Mar-2019,29-Mar-2022,optimuminsurance@airtelmail.in
168,352,,Raghunandan Insurance Brokers Pvt Ltd,NEAR OLD BUS STAND KOTHI  DHOLPUR DHOLPUR DHOLPUR 328001,5624039206,Direct Broker (Life & General),SHIVI MITTAL,05-Apr-2019,04-Apr-2022,shivi.mittal@rmoneyindia.com
169,353,,Trinity Reinsurance Brokers Ltd.,A-23 MANDAKINI ENCLAVE  ALAKNANDA NEW DELHI NEW DELHI 110019,1140562329,Composite Broker,Harshit Jain,05-Apr-2019,04-Apr-2022,po_trb@trinityinsurance.co.in
170,355,,Neem Tree Insurance Broking & Advisory Pvt Ltd,"Room No.3/4, 7 Lyons Range  Kolkata KOLKATA KOLKATA 700001",3322437902,Direct Broker (Life & General),MS.MADHAVI PATKAR,10-May-2019,09-May-2022,po_neemtree@neemtreeinsurance.com
171,357,,Goldkey Insurance Brokers Pvt. Ltd.,SCO 100-101 2ND FLOOR  SECTOR 34-A CHANDIGARH CHANDIGARH 160022,9216358163,Direct Broker (Life & General),ROHIT KAPUR,21-Jun-2019,20-Jun-2022,rohit@goldkeyinsurance.in
172,358,,Relleno Insurance Broking Services Pvt.Ltd.,LILAM VILLA 3-6-239  HIMAYATH NAGAR HYDERABAD HYDERABAD 500029,8978475544,Direct Broker (Life & General),GV VIDYA SAGAR,16-Jul-2019,15-Jul-2022,po_relleno@relleno.in
173,359,,Aum Insurance Brokers Pvt Ltd,"407,4TH FLOOR, GREEN PLAZA  OPP LP SAVANI SCHOOL, ADAJAN SURAT SURAT 395009",9825264988,Direct Broker (Life & General),JAMES P. A.,29-Aug-2019,28-Aug-2022,james.pa@aumbrokers.com
174,360,,Alert Insurance Brokers Pvt Ltd,No 12(Old No19) Rutland Gate 4thstreet  First Floor CHENNAI CHENNAI 600006,9884094848,Direct Broker (Life & General),AKKSHAY M NAHAR,10-Sep-2019,09-Sep-2022,akkshay@alertinsurancebrokers.com
175,361,,SAKTHI PELICAN INSURANCE BROKING PRIVATE LIMITED,NO.62 DR. NANJAPPA ROAD  COIMBATORE COIMBATORE COIMBATORE 641018,4224373781,Direct Broker (Life & General),V V KRISHNA KANTH,14-Sep-2019,13-Sep-2022,po_pelican@yahoo.in
176,365,,Bluechip Insurance Broking Private Limited,"101, FIRST FLOOR, MAJITHIA CHAMBERS, ABDUL RAZZAK ALLANA MARG,  FORT, MUMBAI MUMBAI MUMBAI 400001",2222659033,Direct Broker (Life & General),SRINIVASAN S,14-Dec-2019,13-Dec-2022,insurance@bluechipindia.co.in
177,369,,Gilpa Insurance Brokers,"Twenty one RAJINDER NAGAR  NEAR AMBIKA TOWER, JALANDHAR JALANDHAR 144001",9888465700,Direct Broker (Life & General),RAJ BIR SINGH,31-Dec-2019,30-Dec-2022,rbs.gill@gilpa.in
178,375,,Tata Motors Insurance Broking & Advisory Services Ltd,"Nanavati Mahalaya,3rd Floor, Tamarind Lane,Homi Mody Street  Fort MUMBAI MUMBAI 400001",0266207900,Composite Broker,M.RAVICHANDRAN,13-May-2020,12-May-2023,po_tmibasl@tmibasl.com
179,376,,Jainuine Insurance Brokers Pvt. Ltd.,"ABC-W BLOCK NO.E-5  LEVER-4 OPP DIST COURT, AURANGABAD AURANGABAD AURANGABAD 431001",9850049400,Direct Broker (General),KAILASH OMPRAKASH JAIN,13-May-2020,12-May-2023,po_jainuineinsurance@yahoo.in
180,377,,Origin Insurance Brokers India Pvt Ltd,"206-A, Skyline Epitome, Kirol Road, Nr Jolly Gymkhana  Vidhyavihar-west MUMBAI MUMBAI 400086",2266723021,Direct Broker (General),Manish Chavan,19-May-2020,18-May-2023,po_oibi@originindia.in
181,378,,TVS INSURANCE BROKING LIMITED,"No 9B, 9th Floor, Kochar Bliss, Plot Super A8 & 9, Thiru Vi Ka Industrial Estate,  Guindy, Chennai- 600032 CHENNAI CHENNAI 600032",4442800329,Direct Broker (General),V. GURUNATHAN,21-Jul-2020,20-Jul-2023,po_tvsinsurance@outlook.com
182,379,,Stenhouse Insurance Brokers Pvt Ltd,"1/1,Rams 27,West Cott Road  Royapettah CHENNAI CHENNAI 600008",4428555101,Direct Broker (Life & General),S R Surendar Babu,30-Jul-2020,29-Jul-2023,po_stenhouse@stenhouse.in
183,381,,Toyota Tsusho Insurance Broker (India) Pvt Ltd,"Unit No. 1 A & B, Ist Floor, Frontline Grandeur,No. 14, Walton Road,  Off Lavelle Road, BANGALORE BANGALORE 560001",9845024488,Composite Broker,VIJAYA KUMAR GOVADA,02-Sep-2020,01-Sep-2023,PO@TTIBI.CO.IN
184,382,,Sejal Insurance Broking Ltd,"302, Abhilasha Bldg Next to Shoppers Stop  Kandivali W KANDIVALI WEST MUMBAI 400607",9820532348,Direct Broker (General),Mr. Rahul Panchal,02-Sep-2020,01-Sep-2023,accounts@sejalinsurance.co.in
185,383,,SKD Insurance Broking & Services Pvt. Ltd,001 VITHAL KUNJ GROUND FLOOR V.P. ROAD ANDHERI (W)  MUMBAI     400058,9820710882,Direct Broker (Life & General),KABIR G DODHIYA,07-Oct-2020,06-Oct-2023,po_skd@yahoo.com
186,385,,Amicus Insurance Broking Services Pvt Ltd,"318-320 Sai Commercial Complex Govandi Station Road  Govandi East, Mumbai MUMBAI MUMBAI 400088",7208011084,Direct Broker (General),Mr. K.V.Satheesh Kumar,08-Oct-2020,07-Oct-2023,po_amicus@amicusbrokers.com
187,386,,Robinhood  Insurance Broker Pvt.Ltd,"501 - 504 5th floor,Sigma Building,Hiranadani Gardens,Powai Mumbai-400076        ",,Direct Broker (Life & General),AJAY KUMAR BANSAL,14-Nov-2020,13-Nov-2023,po_robinhood@robinhoodinsurance.co.in
188,387,,ICM Insurance Brokers Pvt Ltd,"No.6, Kalakshetra Avenue 2nd Street  Thiruvanmiyur CHENNAI CHENNAI 600041",4424526589,Direct Broker (Life & General),B. SIVA,24-Nov-2020,23-Nov-2023,po_icm@easyinsuranceindia.com
189,388,,IIFL Insurance Brokers Limited,"IIFL House, Sun Infotech Park, Road No 16V, Plot No B-23, MIDC Thane Industrial Area  Wagle Estate THANE THANE 400604",9594184481,Direct Broker (Life & General),Mohammad Shahid,27-Nov-2020,26-Nov-2023,po_iiibl@iifl.com
190,389,,Zoom Insurance Brokers Pvt Ltd,"D-104, Phase V,  Udyog Vihar GURGAON GURGAON 122016",9999971793,Composite Broker,Prashant Gupta,02-Jan-2021,01-Jan-2024,prashant.gupta@zoominsurancebrokers.com
191,390,,AUM Bima Suraksha Broking Pvt Ltd,5 LOWER RAWDON STREET 1ST FLOOR  AKASHDEEP KOLKATA KOLKATA 700020,9831795033,Direct Broker (Life & General),SANDEEP KANKARIA,13-Feb-2021,12-Feb-2024,po_aumbima@aumcap.com
192,391,,EF Insurance Broking Pvt Ltd,"Chatterjee International Centre Flat No. A6, 9th Floor  33A, Jawaharlal Nehru Road CALCUTTA CALCUTTA 700071",3340117800,Direct Broker (Life & General),Sidharth Mehra,20-Feb-2021,19-Feb-2024,po_efib@easternfin.com
193,392,,Fiducial Insurance Brokers India Pvt Ltd,"No.172/1 LBR Complex Third Floor,Rajunaidu Road  Sivananda Colony COIMBATORE COIMBATORE 641012",9894716962,Direct Broker (Life & General),Varadarajan,03-Mar-2021,02-Mar-2024,po_fiducial@fiducial.in
194,393,,Eureka Insurance Broking Pvt Ltd,"MERLIN INFINITE 1103,DN 51  11TH FLOOR, SALT LAKE, SECTOR V KOLKATA KOLKATA 700091",9836000198,Direct Broker (Life & General),NIDHI SOMANI,24-Mar-2021,23-Mar-2024,insurance@policy6.com
195,395,,Hitech Insurance Broking Services Ltd,"Unit No.202, 2nd floor,Welspun House Kamala City,Senapati Bapat Marg  Lower Parel West MUMBAI MUMBAI 400013",2240016500,Direct Broker (Life & General),R Suriya Narayanan,05-Aug-2018,04-Aug-2021,info.hitechinsurance@hitechgroup.com
196,396,,RADIANT INSURANCE BROKING PRIVATE LIMITED,"3rd Floor, New No.285, Avvai Shanmugam Salai, Royapettah        ",,Direct Broker (Life & General),D C Sabrinathan,14-Sep-2018,13-Sep-2021,po_hasthiraa@hasthiraa.com
